Помогите мне | Здравствуйте, чем могу помочь?

Здравствуйте | Здравствуйте, чем могу помочь?

Привет | Здравствуйте, чем могу помочь?

Спасибо | Рад был помочь.

Зачем токены | Токены нужны для обмена на настоящие скины совершенно бесплатно! Копятся токены за выполнение заданий на нашем проекте, также токены можно получать, открыв кейс за каждые 5 часов отыгранных на нашем проекте.

Для чего нужны токены | Токены нужны для обмена на настоящие скины совершенно бесплатно! Копятся токены за выполнения заданий на нашем проекте, так же токены можно получать открыв кейс за каждые 5 часов отыгранных на нашем проекте.

Зачем коины | Коины нужны для внутреигровых покупок на наших серверах, а также для игры в блекджек. Чтобы начать совершать покупки, пропишите команду !shop. Для того чтобы начать играть в блекджек, пропишите !bj.

Для чего нужны коины | Коины нужны для внутреигровых покупок на наших серверах, а также для игры в блекджек. Чтобы начать совершать покупки, пропишите команду !shop. Для того чтобы начать играть в блекджек, пропишите !bj.

Как зайти в блекджек| Как играть в блекджек? Для начала игры нужно на сервере прописать команду !bj. В чате вам высветится ссылка на игру, которую нужно скопировать (выделить, затем нажать ПКМ и выбрать "копировать"). После этого вставьте ссылку в адресную строку вашего браузера, которая находится выше поисковой, под вкладками.

Как играть в блекджек | Как играть в блекджек? Для начала игры нужно на сервере прописать команду !bj. В чате вам высветится ссылка на игру, которую нужно скопировать (выделить, затем нажать ПКМ и выбрать "копировать"). После этого вставьте ссылку в адресную строку вашего браузера, которая находится выше поисковой, под вкладками.

Где купить галочку | Чтобы получить галочку, надо накопить 50.000 коинов на нашем проекте. Затем пропишите команду !shop и выберите пункт "список товаров". Перейдите в пункт "прочее" и купите галочку за 50.000 коинов.

Как получить роль "верифицированный" | Как получить роль "верифицированный"? Для этого вам нужна купленная галочка. Роль верифицированного выдается в Discord автоматически, если он привязан к нашему сайту.

Для чего нужна галочка | Галочка не дает никаких преимуществ; это косметический предмет, который отделяет вас от других игроков.

Зачем нужны артефакты | Артефакты бустят вашу игру на MG, улучшая скорость, гравитацию и т.д.

Для чего артефакты | Артефакты бустят вашу игру на MG, улучшая скорость, гравитацию и т.д.

Ваш клиент устарел | Ошибка "Ваш клиент устарел" означает, что недавно вышло обновление CS2. Ожидайте, в скором времени мы починим сервера.

перенос админки | Для переноса админ-прав вам нужно указать некоторые данные: 1) Откуда перенести (ссылка на профиль сайта). 2) Куда перенести (ссылка на профиль сайта).

Разморозьте админку | Чтобы разморозить ваши админ-права, нужно пополнить баланс сайта на 350р (промокоды не считаются).

Админка была заморожена |Чтобы разморозить ваши админ-права, нужно пополнить баланс сайта на 350р (промокоды не считаются).

Заморозили админку | Если ваши админ-права заморожены, необходимо пополнить баланс сайта на 350р (промокоды не считаются).

Доплата админки | Для доплаты админ-прав нам нужны уточнения: 1) Что хотите докупить. 2) Ваш ник.

Доплата випки | Для доплаты випки, нам нужно уточнить некоторые детали. 1) Что хотите докупить. 2) Ваш ник.

мне надо передать привилегию | Для передачи привилегии, она должна быть "НАВСЕГДА". Уточните, что вы хотите передать?

просто так забанили | Что бы мы вам помогли вам надо сказать - 1) Ваш ник 2) Ник администратора 3) Причина бана. После заполнения позовите ст. модераторов. (@Ст. модератор).

Меня забанили | Что бы мы вам помогли вам надо сказать - 1) Ваш ник 2) Ник администратора 3) Причина бана. После заполнения позовите ст. модераторов. (@Ст. модератор).

тут читер играет | Чтобы мы передали информацию админам, пожалуйста, укажите:  1) Ник читера.  2) Сервер, на котором вы заметили нарушение.

забаньте читера | Чтобы мы передали информацию админам, пожалуйста, укажите:  1) Ник читера.  2) Сервер, на котором вы заметили нарушение.

Как активировать промокоды | Что бы активировать промокод вам нужно зайти на наш сайт, нажать слева сверху на свою иконку и открыть окно с вводом промокода (ввести промокод)

Где брать промокоды | Промокоды регулярно публикуются в наших социальных сетях. Следите за обновлениями, чтобы не пропустить уникальные предложения!

Как привязать аккаунт Discord | Чтобы привязать аккаунт Discord, вам нужно зайти на наш сайт, нажать сверху-слева на свою иконку и нажать на "Войти в discord".

Как получить роль админа | Вам нужно привязать дискорд к своему аккаунту на сайте.

Как стать модератором | Чтобы стать модератором, вам нужно написать заявку на нашем сайте https://yooma.su/moderator
